: Profit: 23963.216343116987, Ticker: None, Trades: (81, 38, 43), Drawdown: -4.746441622, Stops: 48, Costs: 434.45365688300006 40, 80, 0.3, 2.5, 8, 10, 12, -0.1, False
: Profit: 23874.838035184006, Ticker: None, Trades: (64, 29, 35), Drawdown: -4.746441622, Stops: 40, Costs: 343.00196481600017 40, 100, 0.3, 2.5, 8, 25, 12, 0.3, False
: Profit: 23872.306057100013, Ticker: None, Trades: (99, 54, 45), Drawdown: -4.7340520349999995, Stops: 46, Costs: 538.6639428999999 40, 80, 0.2, 3.0, 8, 25, 8, 0.1, False
: Profit: 23845.734375251992, Ticker: None, Trades: (70, 37, 33), Drawdown: -3268.220556411997, Stops: 44, Costs: 370.365624748 80, 100, 0.2, 2.5, 8, 15, 12, 0.1, False
: Profit: 23793.690545059988, Ticker: None, Trades: (72, 37, 35), Drawdown: -4.773936507, Stops: 44, Costs: 395.4694549400001 60, 40, 0.3, 2.5, 8, 15, 12, 0.3, False
: Profit: 23789.799543313988, Ticker: None, Trades: (70, 37, 33), Drawdown: -1859.087147413999, Stops: 38, Costs: 380.3404566859999 80, 40, 0.3, 3.0, 8, 25, 12, 0.1, False
: Profit: 23752.885116963975, Ticker: None, Trades: (80, 42, 38), Drawdown: -2993.0431690890023, Stops: 48, Costs: 425.054883036 80, 80, 0.3, 2.5, 8, 10, 12, -0.1, False
: Profit: 23732.146827034, Ticker: None, Trades: (66, 32, 34), Drawdown: -4.773936507, Stops: 39, Costs: 364.7531729659999 60, 40, 0.3, 3.0, 8, 15, 12, 0.3, False
: Profit: 23716.267387301992, Ticker: None, Trades: (77, 38, 39), Drawdown: -848.9407153100007, Stops: 47, Costs: 417.64261269799994 40, 100, 0.2, 2.5, 8, 25, 12, 0.1, False
: Profit: 23715.370224313014, Ticker: None, Trades: (101, 54, 47), Drawdown: -4.7340520349999995, Stops: 47, Costs: 548.5097756869999 40, 80, 0.2, 3.0, 8, 15, 8, 0.1, False
: Profit: 23698.487989288995, Ticker: None, Trades: (82, 39, 43), Drawdown: -4.746441622, Stops: 49, Costs: 443.742010711 40, 80, 0.3, 2.5, 8, 15, 12, -0.1, False
: Profit: 23684.769975695002, Ticker: None, Trades: (66, 31, 35), Drawdown: -4.773936507, Stops: 39, Costs: 358.26002430499994 40, 60, 0.2, 3.0, 8, 10, 12, 0.3, False
: Profit: 23679.66403076397, Ticker: None, Trades: (81, 39, 42), Drawdown: -664.913643951005, Stops: 49, Costs: 432.0459692360001 60, 80, 0.3, 2.5, 8, 10, 12, -0.1, False
: Profit: 23679.205228563995, Ticker: None, Trades: (88, 40, 48), Drawdown: -4.746441622, Stops: 53, Costs: 466.10477143599996 40, 100, 0.3, 2.5, 8, 15, 12, -0.1, False
: Profit: 23629.367621555997, Ticker: None, Trades: (70, 37, 33), Drawdown: -3268.220556411997, Stops: 44, Costs: 370.32237844400004 80, 100, 0.2, 2.5, 8, 10, 12, 0.1, False
: Profit: 23622.270647828984, Ticker: None, Trades: (76, 37, 39), Drawdown: -3569.4152476140057, Stops: 50, Costs: 397.5993521709999 80, 100, 0.3, 2.0, 8, 15, 12, 0.1, False
: Profit: 23579.923934496, Ticker: None, Trades: (77, 40, 37), Drawdown: -1068.7029349830018, Stops: 42, Costs: 418.30606550399983 80, 40, 0.2, 3.0, 8, 15, 12, -0.1, False
: Profit: 23579.903934496, Ticker: None, Trades: (77, 40, 37), Drawdown: -1068.7029349830018, Stops: 42, Costs: 418.32606550399987 80, 40, 0.2, 3.0, 8, 10, 12, -0.1, False
: Profit: 23457.962681296987, Ticker: None, Trades: (66, 32, 34), Drawdown: -4.746441622, Stops: 38, Costs: 362.42731870299997 80, 60, 0.3, 3.0, 8, 25, 12, 0.3, False
: Profit: 23418.889399901993, Ticker: None, Trades: (105, 52, 53), Drawdown: -1714.646236230999, Stops: 61, Costs: 558.860600098 9, 10, 0.2, 2.5, 8, 5, 12, 0.3, False
: Profit: 23418.889399901993, Ticker: None, Trades: (105, 52, 53), Drawdown: -1714.646236230999, Stops: 61, Costs: 558.860600098 9, 10, 0.3, 2.5, 8, 5, 12, 0.3, False
: Profit: 23416.885327873988, Ticker: None, Trades: (69, 35, 34), Drawdown: -4.773936507, Stops: 42, Costs: 376.2146721260001 60, 40, 0.2, 2.5, 8, 10, 12, 0.3, False
: Profit: 23343.48236333098, Ticker: None, Trades: (81, 43, 38), Drawdown: -2993.0431690890023, Stops: 49, Costs: 432.61763666900003 80, 80, 0.3, 2.5, 8, 15, 12, -0.1, False
: Profit: 23266.59844128901, Ticker: None, Trades: (55, 28, 27), Drawdown: -805.5468009449962, Stops: 33, Costs: 303.1215587109999 60, 100, 0.3, 3.0, 8, 25, 12, 0.3, False
